 time, stf, M0, fz, dt_dxyz
       0.64000001E-05,      0.11533628E+05,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.64999999E-05,      0.55765522E+04,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.65999998E-05,      0.12778853E+04,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.67000001E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.67999999E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.68999998E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.70000001E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.70999999E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.71999998E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.73000001E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.74000000E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.74999998E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.76000001E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.77000004E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.78000003E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.79000001E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.80000009E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.81000007E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.82000006E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.83000004E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.84000003E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.85000001E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.86000009E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.87000008E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.88000006E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.89000005E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.90000003E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.91000002E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.92000009E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.93000008E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.94000006E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.95000005E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.96000003E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.97000002E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.98000000E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.99000008E-05,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10000001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10100001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10200000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10300000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10400000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10500001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10600001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10700001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10800000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10900000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.11000000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
